aartist,track_name,genius/lyrics,genius/lyrics_annotation,musicbrainz/work_meta,musicbrainz/recording_meta,musicbrainz/release_meta,musicbrainz/artist_meta,secondhandsong/artist_meta,sonar_id,chord_annotation_id
Original Dixieland Jazz Band,Livery Stable Blues,NF,NF,work_8d541f56-1108-47de-a66e-ad5d8ad770c2.json,recording_cad9a000-cb04-49ae-9c2e-94c16981dbc9.json,release_ac989b56-4d7f-49f8-a7a1-db905de8e7a0.json,artist_cad9a000-cb04-49ae-9c2e-94c16981dbc9.json,NF,jaah_43,Livery Stable Blues
The Boswell Sisters,Everybody Loves My Baby,lyrics_Everybody Loves My Baby_The Boswell Sisters.json,annotation_theboswellsisters_everybodylovesmybaby.json,work_1ff8d6fe-2118-3a38-86af-ade7499ceec4.json,recording_c191ada7-4d41-4c10-8d2c-5d9906b693aa.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_c191ada7-4d41-4c10-8d2c-5d9906b693aa.json,NF,N/A,N/A
Duke Ellington & His Orchestra,Concerto for Cootie,NF,NF,work_780c0e3b-38c9-30ae-b164-59bc975de5c2.json,recording_b54a7a8b-f06a-4d5d-baa8-5700f39941fd.json,release_d02124e8-43b8-476c-a4f5-a44570cf4bca.json,artist_b54a7a8b-f06a-4d5d-baa8-5700f39941fd.json,NF,jaah_42,Concerto for Cootie
Billie Holiday,He's Funny That Way,lyrics_He's Funny That Way_Billie Holiday.json,annotation_billieholiday_he'sfunnythatway.json,work_16834f90-0256-30bb-a5ab-6bdc9237cd13.json,recording_6d6020a9-3816-4bd1-8a2f-8672b0ea2921.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_6d6020a9-3816-4bd1-8a2f-8672b0ea2921.json,shs_1496.json,jaah_40,He's Funny That Way
Duke Ellington and His Orchestra,Isfahan,NF,NF,work_f1c9f9ca-d2a3-44a7-b57d-b3111a8d057f.json,recording_a8db791d-8fef-4c0d-9cd3-f8f05a4bf5f2.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_a8db791d-8fef-4c0d-9cd3-f8f05a4bf5f2.json,NF,N/A,N/A
Anthony Braxton; Muhal Richard Abrams,Maple Leaf Rag,NF,NF,work_a28705df-3bfa-3888-b3e9-cc707bda74dc.json,recording_90521ab0-9419-45bc-9576-18a5332aa409.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_90521ab0-9419-45bc-9576-18a5332aa409.json,NF,jaah_39,Maple Leaf Rag
Charlie Parker Quintet,Embraceable You,NF,NF,work_13869248-f36a-3fe0-a8bd-7c0d2793d8d9.json,recording_6e8c9071-6cf0-4592-b13f-693cae9b6669.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_6e8c9071-6cf0-4592-b13f-693cae9b6669.json,NF,jaah_38,Embraceable You
Count Basie Octet,The Golden Bullet,NF,NF,work_ce1d6de6-784c-47ad-91aa-61cec778d142.json,recording_f63da1a2-4f9d-44a4-9bfa-14bde9da3f06.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_f63da1a2-4f9d-44a4-9bfa-14bde9da3f06.json,NF,jaah_41,The Golden Bullet
Stan Getz; João Gilberto; Antonio Carlos Jobim,The Girl From Ipanema,lyrics_The Girl From Ipanema_Stan Getz; João Gilberto; Antonio Carlos Jobim.json,annotation_stangetz;joãogilberto;antoniocarlosjobim_thegirlfromipanema.json,work_69f81329-a815-3ec2-aaee-1f781a1e026d.json,recording_fd889e33-a067-498f-bbf8-9ffe305bde16.json,release_1fc4e773-f202-4ea7-812c-f31344598169.json,artist_fd889e33-a067-498f-bbf8-9ffe305bde16.json,shs_2280.json,N/A,N/A
Gene Krupa and His Orchestra,Rockin' Chair,NF,NF,work_daf67eab-2ae6-39e4-93be-eb91b4ce6890.json,recording_c24bd7bd-aeef-42d1-9445-9ecea0eb0827.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_c24bd7bd-aeef-42d1-9445-9ecea0eb0827.json,NF,jaah_10,Rockin' Chair
Louis Armstrong and His Hot Five,Potato Head Blues,NF,NF,work_4cea47c3-c8e1-4ac4-9001-19eab4ded101.json,recording_d63fa5bc-3351-43b0-9678-b93a9cfd28d5.json,release_a1a36435-e68b-47ed-9f4b-82d7f11f9a08.json,artist_d63fa5bc-3351-43b0-9678-b93a9cfd28d5.json,NF,jaah_9,Potato Head Blues
Duke Ellington & His Orchestra,Cotton Tail,lyrics_Cotton Tail_Duke Ellington & His Orchestra.json,annotation_dukeellington&hisorchestra_cottontail.json,work_ad318e8e-09e5-3fb7-930d-9f8a3de8e65a.json,recording_a5fae57b-d0a7-4cc8-958d-f90600c30eb8.json,release_55abbf75-814b-41d4-b3b2-aaed6430a2d3.json,artist_a5fae57b-d0a7-4cc8-958d-f90600c30eb8.json,NF,jaah_8,Cotton Tail
Don Byas; Slam Stewart,I Got Rhythm,NF,NF,work_e0898f8d-77ff-314e-9888-1bfdc73dc2d8.json,recording_34d74fae-5764-4015-aa6a-2c27b5cdb0f2.json,release_032a7395-7ab4-4831-98e8-ee45b9d60839.json,artist_34d74fae-5764-4015-aa6a-2c27b5cdb0f2.json,NF,N/A,N/A
Jimmie Lunceford and His Orchestra,Organ Grinder's Swing,NF,NF,work_406a8439-131f-4f28-b471-561cdababf6e.json,recording_175e965e-eff8-4989-85b2-5cdae052557e.json,release_9216fe1a-e4f4-4e02-a707-c51c249598d4.json,artist_175e965e-eff8-4989-85b2-5cdae052557e.json,NF,jaah_1,Organ Grinder's Swing
Jelly Roll Morton,King Porter Stomp,lyrics_King Porter Stomp_Jelly Roll Morton.json,annotation_jellyrollmorton_kingporterstomp.json,work_028fce1d-d787-3501-a6ad-cc572786abe1.json,recording_3f6f7104-11bc-41f4-96b0-11ed31a948d4.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_3f6f7104-11bc-41f4-96b0-11ed31a948d4.json,NF,jaah_0,King Porter Stomp
Quintette du Hot Club de France,Minor Swing,NF,NF,work_0d7ed7d2-d879-3536-a866-85f7b2c871f2.json,recording_490a4ca1-1800-4d21-8d78-b6e9415779db.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_490a4ca1-1800-4d21-8d78-b6e9415779db.json,NF,N/A,N/A
Bennie Moten and his Kansas City Orchestra,Moten Swing,NF,NF,work_8933f057-99f8-4aa9-9f2d-3872ac54a37e.json,recording_b56a075e-8c13-4ec7-8b60-02eff2202341.json,release_1920f2dd-f880-4bca-b3ed-1390828fff73.json,artist_b56a075e-8c13-4ec7-8b60-02eff2202341.json,NF,jaah_7,Moten Swing
Duke Ellington & His Orchestra,Diminuendo in Blue and Crescendo in Blue,NF,NF,work_74a470d3-22da-4720-99f2-e704a569a4ef.json,recording_480098d7-8d65-4b1d-a415-71bc647ae6d8.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_480098d7-8d65-4b1d-a415-71bc647ae6d8.json,NF,jaah_6,Diminuendo in Blue and Crescendo in Blue
Stan Getz; J.J. Johnson,Blues in the Closet,NF,NF,work_7736d65c-76a0-47d6-af07-c78bd24e766e.json,recording_e3ca10e3-13a5-4fe5-aa23-7af9db3815dc.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_e3ca10e3-13a5-4fe5-aa23-7af9db3815dc.json,NF,jaah_5,Blues in the Closet
Billie Holiday,These Foolish Things,lyrics_These Foolish Things_Billie Holiday.json,annotation_billieholiday_thesefoolishthings.json,work_6261d6d4-caa9-31f0-8ab4-f977bcd57451.json,recording_454d929d-f954-48bb-ac2c-755e349eb08d.json,release_e3ec9635-da78-4c46-b0a6-22f4c49d3e68.json,artist_454d929d-f954-48bb-ac2c-755e349eb08d.json,shs_1496.json,jaah_4,These Foolish Things
New Orleans Feetwarmers,Maple Leaf Rag,NF,NF,work_a28705df-3bfa-3888-b3e9-cc707bda74dc.json,recording_a1315c6c-9a3c-4ae2-819d-63505727a24c.json,release_02d19dd7-45db-44bc-9eee-235b75db72a1.json,artist_a1315c6c-9a3c-4ae2-819d-63505727a24c.json,NF,jaah_3,Maple Leaf Rag
The George Shearing Quintet,September in the Rain,lyrics_September in the Rain_The George Shearing Quintet.json,annotation_thegeorgeshearingquintet_septemberintherain.json,work_9b7ce169-00d4-3864-a6ec-08aa3f77a5e7.json,recording_333f84f9-e2c4-4ebd-aec5-b710307c7c2b.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_333f84f9-e2c4-4ebd-aec5-b710307c7c2b.json,NF,jaah_2,September in the Rain
Fletcher Henderson and His Orchestra,The Stampede,NF,NF,work_c5018e3e-36f3-337d-802f-cee5b47e0a36.json,recording_b0e36ae6-05c5-4246-99a4-fca6f6681fc1.json,release_7d7ebc5c-7f5b-41f7-a2c2-35b19871c107.json,artist_b0e36ae6-05c5-4246-99a4-fca6f6681fc1.json,NF,jaah_21,The Stampede
Duke Ellington and His Orchestra,Black and Tan Fantasy,NF,NF,work_e14041fb-98da-36a6-b08f-ef6491b9a40b.json,recording_3a68a14f-c514-4262-ba05-08e4e7ace04b.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_3a68a14f-c514-4262-ba05-08e4e7ace04b.json,NF,N/A,N/A
Woody Herman and His Orchestra,Four Brothers,lyrics_Four Brothers_Woody Herman and His Orchestra.json,annotation_woodyhermanandhisorchestra_fourbrothers.json,work_e8fa31dd-d6ca-416d-a479-736271ca5eff.json,recording_8a9dc1eb-b86c-402c-9e7a-116ee9c06eaf.json,release_220de3c7-8b69-4536-8477-0b67ccc95ff0.json,artist_8a9dc1eb-b86c-402c-9e7a-116ee9c06eaf.json,NF,jaah_19,Four Brothers
Frankie Trumbauer and His Orchestra,Singin' the Blues (Til My Daddy Comes Home),NF,NF,work_91a3d077-d8eb-4b99-bc8f-705854180a62.json,recording_168ea61b-9fdd-4d7f-908a-2970073becd1.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_168ea61b-9fdd-4d7f-908a-2970073becd1.json,NF,jaah_20,Singin' the Blues (Til My Daddy Comes Home)
Dexter Gordon,Dexter Rides Again,lyrics_Dexter Rides Again_Dexter Gordon.json,annotation_dextergordon_dexterridesagain.json,work_fedaa5ce-81bf-432c-908c-a6300c09b98e.json,recording_2815658d-a6d0-4f37-ac9e-de0f83bba929.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_2815658d-a6d0-4f37-ac9e-de0f83bba929.json,NF,jaah_18,Dexter Rides Again
John Coltrane Quartet,"My Favorite Things, Part 1 (Single Version)",NF,NF,work_edf0bfbc-c9e4-3b7d-9765-e8b86d9febbc.json,recording_09620053-4631-4c90-8050-326761f0168f.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_09620053-4631-4c90-8050-326761f0168f.json,NF,jaah_17,"My Favorite Things, Part 1 (Single Version)"
Count Basie and the Kansas City 7,Lester Leaps In,lyrics_Lester Leaps In_Count Basie and the Kansas City 7.json,annotation_countbasieandthekansascity7_lesterleapsin.json,work_755f81d2-007a-49cf-9e54-cdc262bbd884.json,recording_89b0b7f7-564a-4ae9-9402-5c5576ac2f9d.json,release_6ef4a4d8-8f9b-440c-9960-3093cfcadf50.json,artist_89b0b7f7-564a-4ae9-9402-5c5576ac2f9d.json,NF,jaah_22,Lester Leaps In
Eddie Condon's Hot Shots,That's a Serious Thing,lyrics_That's a Serious Thing_Eddie Condon's Hot Shots.json,annotation_eddiecondon'shotshots_that'saseriousthing.json,work_48e4e405-6faf-4690-9751-d935874d27f1.json,recording_57e1ed14-f9a5-45b6-89d5-96932e6cfa30.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_57e1ed14-f9a5-45b6-89d5-96932e6cfa30.json,NF,N/A,N/A
Duke Ellington and His Famous Orchestra,Ko-Ko,NF,NF,work_99c729a1-7674-4444-a9cc-fdbf701d6893.json,recording_887bc584-e245-4feb-a7a1-add0e483dd21.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_887bc584-e245-4feb-a7a1-add0e483dd21.json,NF,jaah_11,Ko-Ko
Art Blakey & The Jazz Messengers,Moanin’,NF,NF,work_70ec453d-4d78-39ce-98e0-70e0d47a2fef.json,recording_517cca8f-ab9a-4eee-92d1-1016907b3fc5.json,release_4a90b0ab-34f0-489e-95f8-abc46347e66b.json,artist_517cca8f-ab9a-4eee-92d1-1016907b3fc5.json,NF,N/A,N/A
Sarah Vaughan,Wrap Your Troubles in Dreams,lyrics_Wrap Your Troubles in Dreams_Sarah Vaughan.json,annotation_sarahvaughan_wrapyourtroublesindreams.json,work_177be3d6-14bf-3e12-87af-c1d7457b5c59.json,recording_6af0952a-e2f5-4d28-be98-eb03d6228449.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_6af0952a-e2f5-4d28-be98-eb03d6228449.json,NF,jaah_16,Wrap Your Troubles in Dreams
Louis Armstrong and His Orchestra,Swing That Music,lyrics_Swing That Music_Louis Armstrong and His Orchestra.json,annotation_louisarmstrongandhisorchestra_swingthatmusic.json,work_ab31be36-18a0-48fc-9592-4784ec6c7da8.json,recording_7a3b16fb-d992-4285-954c-8c6cf7566d44.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_7a3b16fb-d992-4285-954c-8c6cf7566d44.json,NF,jaah_15,Swing That Music
Django Reinhardt,Dinah,lyrics_Dinah_Django Reinhardt.json,annotation_djangoreinhardt_dinah.json,work_7f3a3551-4c29-30a4-af3c-bd379042c6d7.json,recording_e8acee6a-d3f0-4ab9-b489-3deb44432575.json,release_5c4703c2-dcb3-4019-b8d2-53e95a313db7.json,artist_e8acee6a-d3f0-4ab9-b489-3deb44432575.json,NF,N/A,N/A
Red Nichols & His Five Pennies,Dinah,NF,NF,work_7f3a3551-4c29-30a4-af3c-bd379042c6d7.json,recording_8e09f1ee-053d-42e3-baf5-50af6137549c.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_8e09f1ee-053d-42e3-baf5-50af6137549c.json,NF,jaah_14,Dinah
Bessie Smith,Lost Your Head Blues,lyrics_Lost Your Head Blues_Bessie Smith.json,annotation_bessiesmith_lostyourheadblues.json,work_0930bcb5-fc03-40e3-9439-1556bccd753b.json,recording_bdf130fd-b72c-4cc1-89d0-1be77ecdbdd8.json,release_5f6cc5ba-7558-4a26-8815-6fa8f1c653b3.json,artist_bdf130fd-b72c-4cc1-89d0-1be77ecdbdd8.json,NF,jaah_13,Lost Your Head Blues
Lucky Thompson Trio,Tricroism,NF,NF,work_c0487132-4850-44c7-aa69-e0240248e40e.json,recording_080a5a42-6260-4a73-b08c-768df63201bc.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_080a5a42-6260-4a73-b08c-768df63201bc.json,NF,N/A,N/A
Charlie Parker,Blues for Alice,NF,NF,work_1b2a870f-bbeb-449e-8847-4e30974f4840.json,recording_a938db71-af38-4c0f-b804-d92362b8a932.json,release_33691b4d-0614-4f9f-836c-9b83f43d4b48.json,artist_a938db71-af38-4c0f-b804-d92362b8a932.json,shs_138.json,jaah_12,Blues for Alice
